Job Title,URL,What They Do,Types of Work Environments,Education and Training Requirements,Salary,Professional Organization Name,Professional Organization URL,Learn More Text,Learn More URL
Chiropractic Physician,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/chiropractic-physician,"Chiropractic physicians are established members of the mainstream medical team. They treat problems involving the muscles, tendons, ligaments, bones, cartilage, and nervous system. Chiropractic physicians can perform soft-tissue therapies, prescribe corrective exercises, and safely manipulate the spine or joints to help you potentially avoid surgery and medication. You may benefit from the chiropractor’s “hands-on” approach to relieve chronic pain from old injuries or acute pain from new injuries.","Most commonly they work in outpatient clinics that they typically own and operate. Over the last decade, it has become the standard of care for chiropractors to be hired by small and large hospital systems in outpatient settings. In rare cases, Chiropractors treat patients in an inpatient setting.",Bachelor's in science/biology or equivalent followed by Chiropractic College to receive a doctorate degree.,"According to the US Bureau of Labor Statistics, ""The median annual wage for chiropractors was $75,380 in May 2022. The median wage is the wage at which half the workers in an occupation earned more than that amount, and half earned less. The lowest 10 percent earned less than $38,170, and the highest 10 percent earned more than $132,630.""",American Chiropractic Association,https://www.acatoday.org/,Chiropractic,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/chiropractic-affiliated-programs
Exercise Physiologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/exercise-physiologist,"Exercise physiologists analyze a patient's fitness, helping them improve and maintain a certain level of health. This includes patients in rehabilitation for heart disease and other chronic problems as well as athletes looking to optimize their performance. There are many different types of health testing that an exercise physiologist can administer to evaluate a person's current health status. This may include exercise stress testing with or without maximal oxygen uptake/VO2 max, body composition, flexibility tests, power/strength tests, and sub-maximal aerobic tests. From there they can develop and prescribe exercise plans focusing on fitness, strength, endurance, and flexibility.",Hospitals Athletic training programs at colleges and universities Fitness facilities Rehabilitation clinics,"Most employers require a candidate to have at least a bachelor's degree to be an exercise physiologist. However, many exercise physiologists specializing in cardiac rehabilitation also have a master's degree. Most academic programs will require some hands-on training in the form of an internship or practicum. It is advisable to pursue certification from one or multiple professional societies such as the American College of Sports Medicine, the American Society of Exercise Physiologists, the National Strength and Conditioning Association, and/or the American Association of Cardiovascular and Pulmonary Rehabilitation.","According to salary.com , the median salary for exercise physiologists is approximately $57,506 per year.",The American Society of Exercise Physiologists,http://www.asep.org/,exercise physiologist: Mike.; Exercise physiology,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/physiologist-mike; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/exercise-physiology-affiliated-programs
Occupational Therapist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/occupational-therapist,"Occupational therapy (OT) is a healthcare profession that provides many wide-ranging services to a variety of people, from infants to older adults. Occupational therapy is provided to people who have been referred by a physician due to a problem with their ability to perform normal activities of daily living (ADLs). This may be due to physical injury, emotional or developmental problems, stroke, elective surgery, disease processes, aging, or birth defects, just to name a few. The goal of OT is to maximize the ability of each individual to perform self-care, work, and leisure activities to the best of their physical, emotional, and cognitive abilities. Ultimately, the goal is also to help people re-learn skills needed to live independent, productive, and satisfying lives. An occupational therapist often works in conjunction with other professionals (physical therapists, speech-language therapists, social workers, teachers, etc...) as part of a team. The physician and the patient are a part of that team as well. Pediatric (children) and geriatric (the elderly) patients benefiting from OT services may have conditions related to orthopedic, neurological, psychiatric, and other conditions. Diagnoses often referred to occupational therapy include autism, head trauma, hand and upper extremity injuries/conditions, stroke (CVA), total hip/knee replacements, cerebral palsy, sensory integration deficits, depression, cancer, arthritis, and many, many more. Treatments provided by occupational therapists and occupational therapist assistants are many. Examples include: Exercises to increase motion and/or strength. Training in activities of daily living (dressing, bathing, grooming, etc.) Craft performance. Instruction in the use of adaptive equipment. Transfer training to help patients get into and out of bed, bathtub, toilet, chair, etc. Coordination training. Stress management and time management. Fabrication of splints for protection/positioning and prevention of contractures. Return to work programs. Handwriting and fine motor instruction. Sensory integration techniques.","OTs may work in full-time, part-time, or PRN (""as needed"") positions in a variety of settings including: Hospitals Nursing homes Private practice Schools Home health agencies Outpatient clinics Psychiatric facilities",,"According to the Bureau of Labor and Statistics , the median salary for occupational therapists is approximately $96,370 per year.",The American Occupational Therapy Association,http://www.aota.org/,occupational therapist: Michael; occupational therapist: Angela; Occupational therapy,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/occupational-therapist-michael; https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/occupational-therapist-angela; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/occupational-therapy-affiliated-programs
Occupational Therapist Assistant,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/occupational-therapy-assistant,"Occupational therapist assistants are directly involved in patient care, often helping occupational therapists implement a specific treatment or rehabilitation plan. Assistants help patients through various rehabilitative activities, observing and recording their progress throughout different stages of the process. They might also help patients in dressing or grooming themselves when they are physically unable to do so themselves. Occupational therapist assistants are integral in implementing a lasting plan of treatment to help patients in physical rehabilitation with their lifelong goals of recovery.","Schools, especially those for children with learning disabilities, behavioral problems, cerebral palsy, or Down's Syndrome Patients' homes Community centers Rehabilitation hospitals Nursing homes",Occupational therapist assistants have a high school diploma or GED and an associate degree from an accredited program. Most states also require occupational therapist assistants to be licensed.,"According to the Bureau of Labor and Statistics , the median salary for occupational therapist assistants is approximately $68,170 per year.",The American Occupational Therapy Association,http://www.aota.org/en/Practice/OT-Assistants.aspx,occupational therapist: Michael; occupational therapist: Angela.; Occupational therapist assistant,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/occupational-therapist-michael; https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/occupational-therapist-angela; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/occupational-therapy-affiliated-programs
Physical Therapist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/physical-therapist,"Physical therapists test muscle strength, the amount of flexibility in joints, and the ability to walk or move. Treatments include exercises to increase strength, range of motion, endurance, and coordination; the use of heat, cold, electricity, or even aquatics to relieve pain; and teaching exercises and body mechanics to avoid injury or regain function. Physical therapists and physical therapy assistants work not only in hospitals but also in sports medicine, home health, nursing homes, school systems, and private offices. There are many jobs currently available in the field of physical therapy, and an increasing demand for therapists is predicted. Since this position requires physical interaction with patients, Physical therapists are highly connected with patients and build stronger patient relationships than most other health sciences specialists. Often, physical therapy patients are dealing with pain, so sensitivity is important. Equally important is giving patients the drive and support they need to work hard and regain their health.",Hospital Nursing home Outpatient facilities Private practice Industry Sports medicine,,"According to the Bureau of Labor and Statistics , the median salary for physical therapists is approximately $99,710 per year.",The American Physical Therapy Association,http://www.apta.org/,physical therapist: Carol; Physical therapy,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/physical-therapist-carol; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/physical-therapy-affiliated-programs
Physical Therapy Assistant,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/physical-therapist-assistant,"Physical therapy assistants work under the direct supervision of a licensed physical therapist to implement a patient's treatment. They teach patients or clients exercises to increase their mobility, strength, and coordination. They also train patients to use crutches, canes, and walkers. Some physical therapy assistants are also trained in massage to help patients heal and relax.",Hospitals Rehabilitation facilities Nursing or extended care facilities Research centers Schools Hospices Industrial and workplace environments Fitness and sports centers,"Physical therapy assistants complete a two-year, five-semester associate degree. They are also licensed according to national and state-level regulations by taking a nationally administered examination.","According to the Bureau of Labor Statistics , the median salary is for physical therapy assistants is approximately $65,860 per year.",The American Physical Therapy Association,http://www.apta.org/,Physical therapy assistant,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/physical-therapy-affiliated-programs
Recreational Therapist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/recreational-therapist,"Recreational therapists focus on their patients' past, present, and potential interests and formulate activities to help cultivate behaviors, skills, and knowledge to improve the quality of the patient's daily life. The goal is to help the patient emotionally, cognitively, and socially. Recreational therapists also try to make the therapy as sustainable and functional as possible by focusing on activities the patient enjoys of skills, they've expressed interest in learning, and by focusing on the patient's involvement with his or her family and community. This helps the patient translate aspects of the therapy into his or her daily life so that he or she can continue to reap the benefits of the therapy even after the recreational therapist and the healthcare team are no longer a source of direct support.",Hospitals Mental health centers Substance abuse programs Nursing homes Hospices Schools,"Recreational therapists must achieve a bachelor's degree in recreational therapy, must complete an internship/field placement, and must pass the examination administered by the National Counsel for Therapeutic Recreation Certification. Recreational therapists must recertify every five years. It is also possible to become a recreational therapist with a bachelor's degree in a field other than recreational therapy. Starting with this foundation and some experience with recreational therapy, it is possible to complete coursework equivalent to that of a bachelor's degree. For more information on the specific coursework requirements for a bachelor's degree in recreational therapy and the equivalent courses, visit the National Counsel for Therapeutic Recreation Certification.","According to the Bureau of Labor and Statistics , the median salary for recreational therapists is approximately $57,120 per year.",The American Therapeutic Recreation Association,https://www.atra-online.com/,Recreational therapy,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/recreational-therapy-affiliated-programs
Speech-Language Pathologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/speech-language-pathologist,"A speech-language pathologists evaluates patients to determine the causes and effects of various speech, language, cognitive-communication, and swallowing disorders that affect patients of all ages. They investigate communications disorders and often different kinds of behaviors that manifest with particular communication difficulties.",Hospitals Schools and universities Rehabilitation centers Centers for those with developmental disabilities Research laboratories Private practices,"Most speech-language pathologists have a graduate degree, have completed an externship/clinical field experience, and pass the national certification examination commissioned by the American Speech-Language-Hearing Association and facilitated by the Educational Testing Service (ETS). However, in some work environments, a PhD is required. Courses of study include biology, physiology, anatomy, human development, social/behavioral sciences, physical science, mathematics, psychology, semantics, phonetics, linguistics. Speech-language pathologists have the same strong, scientific foundation as other allied health professions, but with an added linguistic component.","According to the Bureau of Labor and Statistics , the median salary for speech-language pathologists is approximately $89,290 per year.",careers in speech-language pathology,https://www.asha.org/careers/,speech-language pathologist: Rebecca; Speech-language pathology,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/speech-language-pathologist-rebecca; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/speech-language-pathology-affiliated-programs
Respiratory Therapist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/respiratory-therapist,"Respiratory therapists (RTs), also known as respiratory care practitioners (RCP), are trained to aid physicians in the evaluation, diagnosis, and care of patients with cardiopulmonary problems. Such patients include those with emphysema, asthma, bronchitis, pneumonia, cardiac failure, and chest trauma. The focus is on the diagnosis, treatment, and management of patients suffering from diseases of the cardiopulmonary system. RTs serve as members of cardiac arrest and trauma admission teams or home care providers. They are committed to respiratory wellness and disease prevention and are often found administering family asthma and freedom from nicotine programs. Patients of all ages are treated by RTs, from premature infants in respiratory distress to senior citizens with end-stage ventilator failure. Respiratory therapists (RTs) are trained as “physician-extenders” and are a very important part of a healthcare team. As the name implies, respiratory therapists treat patients with problems related to breathing, such as issues of people suffering from lung disease. They are patient care managers who not only determine the need for respiratory care services but actually administer that care directly to patients. RTs manage clinical resources (staff and equipment), can provide home care (sub-acute) services, and treat patients recovering from surgery. They often work with patients from the time of their admission through the time they leave the hospital. RTs can expect to have close interaction with patients' families. When working in an intensive care unit, you will grow accustomed to seeing people in critical situations, while simultaneously experiencing the deep satisfaction that comes from saving lives. To be a respiratory therapist, you need to have a great deal of compassion for other people. RTs perform a variety of procedures such as: Giving medication and aerosol therapy Pulmonary function tests Oxygen therapy Blood gas determinations Airway management Mechanical ventilation Maneuvers designed to facilitate removal of secretions from the lungs",Intensive care General hospital floors Rehabilitation center Sub-acute unit Home care Pediatrics Pulmonary function lab,,"According to salary.com , the median salary for respiratory therapists is approximately $76,400 per year.",,,respiratory therapist: Gabrielle; Respiratory therapy; Respiratory Therapy Scholarship,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/respiratory-therapist-gabrielle; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/respiratory-therapy-affiliated-programs; https://my.clevelandclinic.org/departments/respiratory/medical-professionals/respiratory-therapy-scholarship-program#application-process-tab
Anesthesia Technician,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/anesthesia-technician,"An anesthesia technician is responsible for supporting the anesthesiologist and other anesthesiology personnel. This includes the management and maintenance of the equipment used by anesthesiologists. The anesthesia technician is responsible for sterilizing, cleaning, assembling, calibrating, testing, and troubleshooting various pieces of machinery. They may also be in charge of equipment monitoring a patient actively under anesthesia.",Hospitals Operating suites Emergency rooms,"The minimum requirement for an entry-level position as an anesthesia technician is a high school diploma or GED. However, some employers may require a two-year associate's degree in healthcare. The American Society of Anesthesia Technologists and Technicians (ASATT) also administers an examination that certifies anesthesia technicians to work in hospitals.","According to salary.com , the median salary for anesthesia technicians is approximately $46,830 per year.",Types of Careers in Anesthesiology,https://www.asahq.org/education-and-career/career-resources/anesthesia-as-a-career/types-of-careers-in-anesthesia,,
Anesthesiologist Assistant,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/anesthesiologist-assistant,"Anesthesiologist assistants work with nurse anesthetists and physician anesthesiologists as part of the operating team. Before a patient enters the operating room, anesthesiologist assistants will take a pre-anesthesia health history to make sure that the anesthetic planned is appropriate and in line with the patient's health. After an operation, an anesthesiologist assistant will make patient rounds and monitor their conditions as they recover from anesthesia. During a surgical procedure, an anesthesiologist assistant will administer and monitor the anesthetic, adjusting or maintaining the level of anesthetic as necessary. Anesthesiologist assistants might also assist in laboratory work, drawing blood, and conducting tests. They work with a variety of technology and on a vast array of procedures. For more information concerning the job description of an anesthesiologist assistant, visit the ""FAQs"" page on the website for the American Academy of Anesthesiologist Assistants.","Hospitals, always a part of the anesthesiology team in surgical settings.","Anesthesiologist assistants earn a Master of Science in anesthesia and are certified by passing an exam administered by the National Commission for the Certification of Anesthesiologist Assistants. To recertify, an anesthesiologist assistant must complete 40 hours of continuing medical education every two years and take the Continuing Demonstration of Qualification Exam every six years.","According to salary.com , the median salary for anesthesiologist assistants is approximately $47,340 per year.",The American Academy of Anesthesiologist Assistants,http://www.anesthetist.org/,Anesthesiologist assistant,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/anesthesiologist-assistant-affiliated-programs
Nurse Anesthetist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/nurse-anesthetist,"Certified Registered Nurse Anesthetists (CRNAs) are advanced practice registered nurses with graduate-level experience and education in anesthesia. They provide anesthesia to patients of all ages, from newborns to the elderly, undergoing all types of surgical and diagnostic procedures. CRNAs collaborate with other healthcare providers, including surgeons, anesthesiologists, nurses, and other perioperative personnel to deliver safe, effective anesthesia care.","CRNAs practice in every setting in which anesthesia is delivered: traditional hospital surgical suites and obstetrical delivery rooms; critical access hospitals; ambulatory surgical centers; ketamine clinics; the offices of dentists, podiatrists, ophthalmologists, plastic surgeons, and pain management specialists; and U.S. military, Public Health Services, and Department of Veterans Affairs healthcare facilities.","Nurse anesthesia education is a graduate-level education program that leads to a master's or doctoral degree. Beginning in 2022, all nurse anesthesia programs will be at the doctoral level. Before beginning a program of anesthesia study, the applicant must be a baccalaureate-prepared Registered Nurse, with at least one year of critical care experience in the United States or one of its territories. Nurse anesthesia educational programs are a minimum of three years in length, and graduates must pass a national certifying examination to practice as a CRNA. CRNAs have a rigorous recertification process that includes 100 continuing education credits every four years, four core modules based on current literature and evidence-based knowledge, current engagement in anesthesia practice, and a Continued Professional Certification Assessment taken every eight years.","According to the Bureau of Labor and Statistics , the median salary for nurse anesthetists is approximately $214,200 per year.",The American Association of Nurse Anesthetists,http://www.aana.com/,Nurse anesthesia; School of Nurse Anesthesia,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/nurse-anesthesia-affiliated-programs; https://my.clevelandclinic.org/departments/anesthesiology/medical-professionals/school-of-nurse-anesthesia?utm_campaign=crnaschool-url&utm_medium=offline&utm_source=redirect&utm_content=crnaschool-url#overview-tab
Perfusionist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/perfusionist,"The cardiovascular perfusionist's sole responsibility is the maintenance and operation of the heart-lung machine during cardiac surgery. The heart-lung machine is a device that circulates and oxygenates a patient's blood outside of their body (extracorporeally). This allows the surgeon to operate on a still, unmoving heart and keeps the patient alive during procedures where it is necessary to bypass the heart. The perfusionist can use the heart-lung machine to monitor a patient's vitals and to adjust the temperature of the patient's blood during surgery.",Hospital operating rooms,"Perfusion programs are typically one to four years, certification programs often require that applicants have previously completed a bachelor's degree with college-level science and mathematics. A background in medical technology, respiratory therapy, and nursing is advantageous.","According to salary.com , the median salary for cardiovascular perfusionists is approximately $155,113 per year.",The American Board of Cardiovascular Perfusion,https://abcp.org/,Cardiovascular Perfusion Program,https://my.clevelandclinic.org/departments/heart/medical-professionals/fellowship-residency/cardiovascular-perfusionist
Sterile Processing and Distribution Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/sterile-processing-distribution-technologist,Sterile processing and distribution technologists are responsible for cleaning and maintaining surgical tools and hospital equipment. It is their job to make sure that the sterilized tools are then organized into trays containing the instruments required for routine or special surgeries. They are also responsible for checking equipment to make sure it is in good repair and up to date. Sterile processing and distribution technologists might also stock crash carts.,Hospitals,Most sterile processing and distribution technologists have a high school diploma or a GED. Some have taken courses at a college level or completed an associate degree as well. All sterile processing and distribution technologists take a certification exam administered by the Certification Board for Sterile Processing and Distribution.,"According to Bureau of Labor Statistics , the median salary for sterile processing technicians is approximately $47,410 per year.",,,Sterile processing and distribution technology,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/sterile-processing-affiliated-programs
Surgical Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/surgical-technologist,"Surgical technologists, sometimes called “scrub techs” are allied health professionals who assist in surgical procedures under the supervision of surgeons and registered nurses. A surgical technologist provides surgical care to patients in a variety of settings. They possess expertise in theory and application of sterile and aseptic technique and combine the knowledge of anatomy, surgical procedures and implementation of tools and techniques to assist the surgeon in performance of invasive procedures. The surgical technologist is a member of the operating room team whose primary responsibilities are ensuring quality patient care during the operative procedure and maintaining a sterile field. The surgical technologist can perform a variety of functions depending on their work environment. They check supplies and equipment for the procedures, setting up sterile tables with instruments, supplies, equipment, and medications/solutions. They also perform appropriate counts with circulating nurses, drape the sterile field, and pass instruments to the surgeon and assistant during the procedure. Technologists must respond quickly and know the procedures well enough to have instruments ready for the surgeons. Afterwards, they prepare sterile dressings and clean instruments for terminal sterilization.",Operating rooms in hospitals. Central sterile processing in hospitals. Dental and orthodontic offices. Private surgical facilities. Experienced surgical technologists may return to teach future technologists. Organ and tissue donation organizations.,"The trend today is to graduate from an accredited surgical technology training program and attain professional certification through the National Board of Surgical Technology and Surgical Assisting (NBSTSA). Programs may be offered in community and junior colleges, vocational and technical schools, the military, universities and structured hospital programs in surgical technology. Accredited programs vary from nine to fifteen months for a diploma or certificate to two years for an associate degree. The choice to become certified exhibits pride in the profession, the desire to be recognized for mastery of scientific principles, as well as ongoing commitment to quality patient care. Certification is a means for upward mobility, a condition for employment in some areas, a route to higher pay and a source of recognition nationwide.","According to the Bureau of Labor and Statistics , the median salary for surgical technologists is approximately $62,250 per year.",Association of Surgical Technologists,http://www.ast.org/,surgical technologist: Lenore; surgical technologist: Yvette; Surgical technology,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/surgical-technologist-lenore; https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/surgical-technologist-yvette; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/surgical-technology-affiliated-programs
WOC Nursing,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/wound-osteomyelitis-continence-nursing,,,,,,,,
